"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 14 03:46:53 EEST 2022","Wed Sep 14 03:46:55 EEST 2022","2508","","Test suit for storage page.","","Test suit for storage page.","TC#7: Check text and image on pricing paragraph.","TC#7: Check text and image on pricing paragraph.",""
"passed","Wed Sep 14 03:49:13 EEST 2022","Wed Sep 14 03:49:16 EEST 2022","3531","","Test suit for waitlist form.","","Test suit for waitlist form.","TC#5: Waitlist form check (Only last name entered).","TC#5: Waitlist form check (Only last name entered).",""
"passed","Wed Sep 14 03:49:10 EEST 2022","Wed Sep 14 03:49:13 EEST 2022","3000","","Test suit for waitlist form.","","Test suit for waitlist form.","TC#4: Waitlist form check (Only first name entered).","TC#4: Waitlist form check (Only first name entered).",""
"passed","Wed Sep 14 03:46:38 EEST 2022","Wed Sep 14 03:46:44 EEST 2022","6126","","Test suit for waitlist form.","","Test suit for waitlist form.","TC#1: Waitlist form check (empty values).","TC#1: Waitlist form check (empty values).",""
"passed","Wed Sep 14 03:48:54 EEST 2022","Wed Sep 14 03:49:01 EEST 2022","7460","","Test suit for waitlist form.","","Test suit for waitlist form.","TC#1: Waitlist form check (empty values).","TC#1: Waitlist form check (empty values).",""
"passed","Wed Sep 14 03:46:53 EEST 2022","Wed Sep 14 03:46:56 EEST 2022","2899","","Test suit for waitlist form.","","Test suit for waitlist form.","TC#5: Waitlist form check (Only last name entered).","TC#5: Waitlist form check (Only last name entered).",""
"passed","Wed Sep 14 03:46:42 EEST 2022","Wed Sep 14 03:46:44 EEST 2022","2100","","Test suit for storage page.","","Test suit for storage page.","TC#3: Check text and image on how telnyx storage works paragraph.","TC#3: Check text and image on how telnyx storage works paragraph.",""
"passed","Wed Sep 14 03:46:59 EEST 2022","Wed Sep 14 03:47:02 EEST 2022","2435","","Test suit for storage page.","","Test suit for storage page.","TC#10: Check the Telnyx logo on the bottom of the page.","TC#10: Check the Telnyx logo on the bottom of the page.",""
"passed","Wed Sep 14 03:49:34 EEST 2022","Wed Sep 14 03:49:38 EEST 2022","4230","","Test suit for waitlist form.","","Test suit for waitlist form.","TC#10: Waitlist form check (Only last name empty).","TC#10: Waitlist form check (Only last name empty).",""
"passed","Wed Sep 14 03:46:55 EEST 2022","Wed Sep 14 03:46:57 EEST 2022","2380","","Test suit for storage page.","","Test suit for storage page.","TC#8: Check text and image on dropdown elements in Frequently Asked Questions paragraph.","TC#8: Check text and image on dropdown elements in Frequently Asked Questions paragraph.",""
